"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2015","3,572.84","3,565.23","3,594.81","3,560.45","222.79K","0.18%"
"Feb 26, 2015","3,566.30","3,473.71","3,569.33","3,456.87","229.33K","2.52%"
"Feb 25, 2015","3,478.73","3,529.55","3,529.55","3,463.95","165.54K","-1.24%"
"Feb 17, 2015","3,522.32","3,511.54","3,536.82","3,511.09","165.33K","0.65%"
"Feb 16, 2015","3,499.48","3,473.29","3,504.47","3,466.61","165.64K","0.85%"
"Feb 13, 2015","3,469.83","3,458.83","3,509.51","3,452.08","201.09K","0.78%"
"Feb 12, 2015","3,442.87","3,435.36","3,453.58","3,405.63","156.08K","0.25%"
"Feb 11, 2015","3,434.12","3,415.98","3,445.66","3,412.14","144.61K","0.80%"
"Feb 10, 2015","3,406.94","3,345.08","3,407.18","3,339.55","159.31K","1.82%"
"Feb 09, 2015","3,345.92","3,305.73","3,376.53","3,298.60","172.35K","1.01%"
"Feb 06, 2015","3,312.42","3,352.33","3,374.05","3,285.93","192.66K","-1.62%"
"Feb 05, 2015","3,366.95","3,487.95","3,487.95","3,366.86","250.43K","-1.02%"
"Feb 04, 2015","3,401.77","3,446.14","3,476.82","3,399.57","191.30K","-1.04%"
"Feb 03, 2015","3,437.45","3,388.60","3,441.71","3,360.72","192.85K","2.49%"
"Feb 02, 2015","3,353.96","3,360.19","3,407.26","3,347.09","195.18K","-2.34%"
"Jan 30, 2015","3,434.39","3,496.89","3,514.22","3,431.94","196.48K","-1.36%"
"Jan 29, 2015","3,481.80","3,474.91","3,505.58","3,453.90","211.62K","-1.23%"
"Jan 28, 2015","3,525.32","3,547.24","3,583.31","3,512.39","216.22K","-1.39%"
"Jan 27, 2015","3,574.93","3,614.04","3,616.26","3,510.02","287.67K","-0.92%"
"Jan 26, 2015","3,607.99","3,580.12","3,611.62","3,559.38","239.77K","1.02%"
"Jan 23, 2015","3,571.73","3,582.09","3,627.81","3,548.63","280.17K","0.12%"
"Jan 22, 2015","3,567.61","3,551.05","3,576.76","3,520.05","268.85K","0.53%"
"Jan 21, 2015","3,548.89","3,420.49","3,557.79","3,409.43","337.93K","4.50%"
"Jan 20, 2015","3,396.22","3,336.79","3,419.20","3,325.68","297.84K","1.22%"
"Jan 19, 2015","3,355.16","3,414.01","3,497.25","3,330.98","329.51K","-7.70%"
"Jan 16, 2015","3,635.15","3,616.25","3,662.16","3,601.26","282.68K","0.86%"
"Jan 15, 2015","3,604.12","3,501.72","3,604.12","3,482.27","237.81K","2.90%"
"Jan 14, 2015","3,502.42","3,522.91","3,547.24","3,471.56","196.01K","-0.33%"
"Jan 13, 2015","3,514.04","3,506.45","3,550.16","3,494.77","187.15K","0.01%"
"Jan 12, 2015","3,513.58","3,531.51","3,560.53","3,461.32","266.57K","-0.93%"
