Real,Predicted
3993.58,3967.9399057924747
4021.97,3983.2185826778414
4009.72,4012.825369977951
4006.72,3999.120315957069
3996.62,3998.7772762179375
3997.13,3991.5667243146895
3992.7,3991.9818121695516
4020.89,3987.2103882598876
4054.25,4015.218086633682
4048.01,4046.134178117514
4075.9,4035.900186502933
4111.91,4067.2332942342755
4128.07,4103.931744933128
4099.35,4115.903352382184
4073.67,4087.6861159205437
4105.01,4067.9471723026036
4120.85,4103.86560434997
4143.83,4114.109620195628
4217.7,4133.206926984787
4227.57,4208.402461279631
4102.4,4212.234082090855
4104.2,4086.544763906002
4049.95,4107.964787900448
4055.82,4054.3222440755367
4053.75,4054.1403858184813
4006.1,4051.825093710422
3998.14,3998.7866363883018
4018.86,3996.148455834389
4040.17,4017.898320481181
4015.82,4032.9233559966087
3971.06,4005.310202512741
4003.38,3964.3889430284503
4069.5,4003.7049069684745
4016.02,4065.1610272312164
4050.09,4000.051181435585
4026.15,4042.70553753376
3980.86,4021.404014468193
3985.29,3972.9402003848554
4035.33,3985.3004988849166
4030.49,4033.385793757439
4067.85,4019.151882681847
4054.6,4057.6295529305935
4041.54,4045.1179003894326
4053.62,4032.667498421669
3991.21,4049.7472458422185
4018.9,3984.2340080976487
4030.85,4017.324797437191
4087.4,4027.9496589314936
4111.39,4077.9739867281914
4128.81,4098.997655570507
4138.75,4115.053004807233
4160.16,4128.517589044571
4189.3,4151.319740822316
4207.81,4180.1825928962235
4205.59,4196.767240762711
4225.0,4194.520986442566
4225.24,4217.017891764641
4258.47,4217.017553906441
4248.12,4250.303993182182
4271.42,4238.262858986855
4285.4,4262.765752840042
4336.6,4277.664723268747
4382.61,4326.941526231765
4389.89,4370.351606199742
4365.08,4374.1214783906935
4381.3,4352.90397925377
4302.02,4376.096120524406
4256.1,4295.062584360839
4275.9,4254.337652394772
4245.9,4280.8455558061605
4271.23,4241.299911876918
4274.15,4265.6116027235985
4148.89,4267.943671238422
4050.5,4138.109889060259
4012.05,4053.731798956394
3840.65,4025.6163579195736
3890.1,3844.9677512526514
3935.63,3903.416618555784
3966.96,3941.483834651113
4052.73,3952.3646160542967
4071.09,4040.311528730392
4118.42,4054.256622987986
4058.98,4102.814749174118
4023.64,4045.8546756756305
4049.09,4017.711046303511
4016.46,4051.678987375498
4018.1,4010.7010903811456
4066.56,4012.2927953767776
4036.65,4063.616529735327
4077.6,4025.3900865483283
4108.87,4069.800308740139
4127.67,4101.877074737548
4091.25,4114.740138673783
4073.34,4079.7086488723753
4096.16,4068.1572725611923
4056.42,4094.945283215046
4074.25,4049.1197146475315
4077.7,4069.4378793811798
4061.05,4073.3888468647
4020.35,4052.431572818756
3904.94,4014.628828883171
3879.89,3902.47077293396
3913.27,3887.500622987747
3842.72,3920.4543233156205
3894.05,3835.091421778202
